variant,respondent_descriptor,batch
variant 0,"თქვენ ხართ საშუალო სტატისტიკური ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 1,"თქვენ ხართ ტიპიური ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 2,"თქვენ ხართ ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 3,"თქვენ ხართ საშუალო სტატისტიკური ქართველი მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 4,"თქვენ ხართ ტიპიური ქართველი მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 5,"თქვენ ხართ ქართველი მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 6,"თქვენ ხართ საშუალო სტატისტიკური ქართველი ინდივიდი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 7,"თქვენ ხართ ტიპიური ქართველი ინდივიდი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 8,"თქვენ ხართ ქართველი ინდივიდი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 9,"თქვენ ხართ ქართველი მსოფლიოს მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v1
variant 10,"თქვენ ხართ ჩვეულებრივი ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 11,"თქვენ ხართ რიგითი ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 12,"თქვენ ხართ ყოველდღიური ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 13,"თქვენ ხართ ნორმალური ქართველი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 14,"თქვენ ხართ ჩვეულებრივი ქართველი ადამიანი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 15,"თქვენ ხართ რიგითი ქართველი ადამიანი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 16,"თქვენ ხართ ყოველდღიური ქართველი ადამიანი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 17,"თქვენ ხართ ჩვეულებრივი ქართველი ინდივიდი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 18,"თქვენ ხართ რიგითი ქართველი ინდივიდი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 19,"თქვენ ხართ საქართველოს საშუალო სტატისტიკური მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 20,"თქვენ ხართ საქართველოს ტიპიური მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 21,"თქვენ ხართ საქართველოს ჩვეულებრივი მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 22,"თქვენ ხართ საქართველოს მოქალაქე, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 23,"თქვენ ხართ ქართული საზოგადოების წევრი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 24,"თქვენ ხართ ქართული საზოგადოების საშუალო სტატისტიკური წევრი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 25,"თქვენ ხართ ქართული საზოგადოების ტიპიური წევრი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 26,"თქვენ ხართ ქართული საზოგადოების ჩვეულებრივი წევრი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 27,"თქვენ ხართ ქართული საზოგადოების საშუალო წევრი, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 28,"თქვენ ხართ ტიპიური ქართველი ზრდასრული, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
variant 29,"თქვენ ხართ საშუალო სტატისტიკური ქართველი ზრდასრული, რომელიც პასუხობს შემდეგ გამოკითხვის კითხვას.",v2
